"month","day","confirmed","inspection","tested","telephone","day_of_week"
1,29,0,5,5,23,"wednesday"
1,30,1,1,1,324,"thursday"
1,31,0,2,2,402,"friday"
2,1,0,1,1,276,"saturday"
2,2,0,0,0,193,"sunday"
2,3,0,0,0,339,"monday"
2,4,0,4,5,227,"tuesday"
2,5,0,3,4,246,"wednesday"
2,6,0,5,6,170,"thursday"
2,7,0,4,10,176,"friday"
2,8,0,0,0,125,"saturday"
2,9,0,3,4,79,"sunday"
2,10,0,1,3,156,"monday"
2,11,0,0,0,78,"tuesday"
2,12,0,1,13,149,"wednesday"
2,13,1,4,19,153,"thursday"
2,14,2,3,9,300,"friday"
2,15,8,130,152,294,"saturday"
2,16,5,74,78,313,"sunday"
2,17,0,7,27,402,"monday"
2,18,3,24,40,375,"tuesday"
2,19,3,80,96,403,"wednesday"
2,20,0,60,119,334,"thursday"
2,21,3,35,62,481,"friday"
2,22,1,34,62,487,"saturday"
2,23,0,7,18,466,"sunday"
2,24,3,14,24,439,"monday"
2,25,0,44,44,460,"tuesday"
2,26,3,51,58,428,"wednesday"
2,27,1,68,110,414,"thursday"
2,28,0,64,90,508,"friday"
3,1,2,14,18,474,"sunday"
2,29,1,56,69,457,"saturday"
3,2,0,32,48,399,"monday"
3,3,1,74,79,592,"tuesday"
3,4,4,82,113,516,"wednesday"
3,5,8,79,111,536,"thursday"
3,6,6,71,147,571,"friday"
3,7,6,94,111,588,"saturday"
3,8,0,0,0,575,"sunday"
3,9,0,23,76,666,"monday"
3,10,3,65,103,683,"tuesday"
3,11,6,119,158,638,"wednesday"
3,12,2,84,128,567,"thursday"
3,13,2,58,104,653,"friday"
3,14,10,71,84,560,"saturday"
3,15,3,0,0,591,"sunday"
3,16,0,19,113,747,"monday"
3,17,12,71,137,691,"tuesday"
3,18,9,105,180,863,"wednesday"
3,19,7,49,131,795,"thursday"
3,20,11,15,26,718,"friday"
3,21,7,44,79,519,"saturday"
3,22,2,1,5,517,"sunday"
3,23,16,56,176,772,"monday"
3,24,17,74,162,752,"tuesday"
3,25,41,95,191,659,"wednesday"
3,26,47,87,195,718,"thursday"
3,27,40,143,303,784,"friday"
3,28,63,244,301,632,"saturday"
3,29,68,331,335,522,"sunday"
3,30,13,41,298,509,"monday"
3,31,78,145,363,745,"tuesday"
4,1,66,164,489,1084,"wednesday"
4,2,97,469,827,1025,"thursday"
4,3,89,551,892,867,"friday"
4,4,116,65,228,1182,"saturday"
4,5,143,62,108,944,"sunday"
4,6,83,356,1070,731,"monday"
4,7,79,271,923,727,"tuesday"
4,8,144,366,993,787,"wednesday"
4,9,178,344,938,768,"thursday"
4,10,187,362,1088,990,"friday"
4,11,197,503,800,724,"saturday"
4,12,166,57,115,956,"sunday"
4,13,91,250,1391,1303,"monday"
4,14,161,91,909,1629,"tuesday"
4,15,126,160,1097,1957,"wednesday"
4,16,148,482,1498,1853,"thursday"
4,17,201,314,1360,1866,"friday"
4,18,181,337,803,2265,"saturday"
4,19,107,304,437,1842,"sunday"
4,20,102,276,1607,2067,"monday"
4,21,123,167,1125,2153,"tuesday"
4,22,132,233,1242,1896,"wednesday"
4,23,134,470,630,2049,"thursday"
